x,y,z
1477.3012,583.1398,-199.0000
1479.3012,583.1398,-199.0000
1481.3012,583.1398,-199.0000
1483.3012,583.1398,-199.0000
1485.3012,583.1398,-199.0000
1487.3012,583.1398,-199.0000
1489.3012,583.1398,-199.0000
1491.3012,583.1398,-199.0000
1493.3012,583.1398,-199.0000
1495.3012,583.1398,-199.0000
1497.3012,583.1398,-199.0000
1499.3012,583.1398,-199.0000
1501.3012,583.1398,-199.0000
1503.3012,583.1398,-199.0000
1505.3012,583.1398,-199.0000
1507.3012,583.1398,-199.0000
1509.3012,583.1398,-199.0000
1511.3012,583.1398,-199.0000
1513.3012,583.1398,-199.0000
1515.3012,583.1398,-199.0000
1517.3012,583.1398,-199.0000
1519.3012,583.1398,-199.0000
1521.3012,583.1398,-199.0000
1523.3012,583.1398,-199.0000
1525.3012,583.1398,-199.0000
1527.3012,583.1398,-199.0000
1529.3012,583.1398,-199.0000
1531.3012,583.1398,-199.0000
1533.3012,583.1398,-199.0000
1535.3012,583.1398,-199.0000
1537.3012,583.1398,-199.0000
1539.3012,583.1398,-199.0000
1541.3012,583.1398,-199.0000
1543.3012,583.1398,-199.0000
1545.3012,583.1398,-199.0000
1547.3012,583.1398,-199.0000
1549.3012,583.1398,-199.0000
1551.3012,583.1398,-199.0000
1553.3012,583.1398,-199.0000
1555.3012,583.1398,-199.0000
1557.3012,583.1398,-199.0000
1559.3012,583.1398,-199.0000
1561.3012,583.1398,-199.0000
1563.3012,583.1398,-199.0000
1565.3012,583.1398,-199.0000
1567.3012,583.1398,-199.0000
1569.3012,583.1398,-199.0000
1571.3012,583.1398,-199.0000
1573.3012,583.1398,-199.0000
1575.3012,583.1398,-199.0000
1577.3012,583.1398,-199.0000
1579.3012,583.1398,-199.0000
1581.3012,583.1398,-199.0000
1583.3012,583.1398,-199.0000
1585.3012,583.1398,-199.0000
1587.3012,583.1398,-199.0000
1589.3012,583.1398,-199.0000
1591.3012,583.1398,-199.0000
1593.3012,583.1398,-199.0000
1595.4000,583.1398,-199.0000
